i,e,c,p,l,real,predict
1,7,1,2,2,0.0,0.0
1,7,1,3,2,0.0,0.0
1,7,1,4,2,0.0,0.0
1,7,1,5,2,0.0,0.0
1,7,1,6,2,0.0,0.0
1,7,1,7,2,0.0,0.0
1,7,1,8,2,0.0,0.0
1,7,1,9,2,0.0,0.0
1,7,1,10,2,0.26,0.516
1,7,1,10,3,0.0,0.0
1,7,1,10,4,0.0,0.0
1,7,1,11,2,0.0,0.0
1,7,1,12,2,0.0,0.0
1,7,1,12,3,0.0,0.0
1,7,1,13,2,0.12,0.236
1,7,1,14,2,0.0,0.0
1,7,1,14,3,0.0,0.0
1,7,1,15,2,0.27,0.532
1,7,1,16,2,0.0,0.0
1,7,1,17,2,0.0,0.0
1,7,1,17,3,0.0,0.0
1,7,1,18,2,1.21,2.428
1,7,1,19,2,0.0,0.0
1,7,1,19,3,0.0,0.0
1,7,1,20,2,0.0,0.0
1,7,1,21,2,0.0,0.0
1,7,1,21,3,0.0,0.0
1,7,1,22,2,0.0,0.0
1,7,1,23,2,0.0,0.0
1,7,1,24,2,0.0,0.0
1,7,1,25,2,0.0,0.0
1,7,1,26,2,0.0,0.0
1,7,1,28,2,0.0,0.0
1,7,1,29,2,0.0,0.0
1,7,1,29,3,0.0,0.0
1,7,1,30,2,0.11,0.22
1,7,1,31,2,0.0,0.0
1,7,1,32,2,0.0,0.0
1,7,1,33,2,0.0,0.0
1,7,1,35,2,2.51,3.002
1,7,1,35,3,0.0,0.0
1,7,1,35,4,0.0,0.0
1,7,4,11,2,0.0,0.0
1,7,4,19,2,0.0,0.0
1,7,4,21,2,0.0,0.0
1,7,4,22,2,0.0,0.0
1,7,4,35,2,0.0,0.0
1,8,1,1,2,3.16,4.508
1,8,1,1,3,0.0,0.0
1,8,1,2,2,2.91,3.494
1,8,1,2,3,0.0,0.0
1,8,1,3,2,7.76,8.429999999999998
1,8,1,3,3,0.0,0.0
1,8,1,4,2,3.37,5.0
1,8,1,4,3,0.0,0.0
1,8,1,5,2,4.03,3.654
1,8,1,5,3,0.0,0.0
1,8,1,6,2,2.81,2.646
1,8,1,6,3,0.0,0.0
1,8,1,7,2,0.59,0.314
1,8,1,7,3,0.0,0.0
1,8,1,8,2,1.27,2.536
1,8,1,8,3,0.0,0.0
1,8,1,9,2,2.47,0.222
1,8,1,9,3,0.0,0.0
1,8,1,10,2,48.88,47.504
1,8,1,10,3,0.0,0.0
1,8,1,11,2,6.72,6.204000000000001
1,8,1,11,3,0.0,0.0
1,8,1,12,2,2.37,3.12
1,8,1,12,3,0.0,0.0
1,8,1,13,2,2.13,0.8220000000000001
1,8,1,13,3,0.0,0.0
1,8,1,14,2,0.93,1.004
1,8,1,14,3,0.0,0.0
1,8,1,15,2,5.5,6.7700000000000005
1,8,1,15,3,0.0,0.0
1,8,1,16,2,4.82,3.094
1,8,1,16,3,0.0,0.0
1,8,1,17,2,3.28,4.209999999999999
1,8,1,17,3,0.0,0.0
1,8,1,18,2,1.38,0.364
1,8,1,18,3,0.0,0.0
1,8,1,19,2,12.41,11.457999999999998
1,8,1,19,3,0.0,0.0
1,8,1,20,2,1.53,0.614
1,8,1,20,3,0.0,0.0
1,8,1,21,2,7.8,8.912
1,8,1,21,3,0.0,0.0
1,8,1,22,2,2.07,1.782
1,8,1,22,3,0.0,0.0
1,8,1,23,2,0.0,0.0
1,8,1,23,3,0.0,0.0
1,8,1,24,2,2.75,3.486
1,8,1,24,3,0.0,0.0
1,8,1,25,2,0.33,0.0
1,8,1,25,3,0.0,0.0
1,8,1,26,2,0.92,0.0
1,8,1,28,2,0.14,0.288
1,8,1,28,3,0.0,0.0
1,8,1,29,2,3.19,2.286
1,8,1,29,3,0.0,0.0
1,8,1,30,2,0.0,0.0
1,8,1,31,2,1.72,1.8
1,8,1,31,3,0.0,0.0
1,8,1,32,2,0.43,0.0
1,8,1,32,3,0.0,0.0
1,8,1,33,2,0.0,0.0
1,8,1,34,2,0.0,0.0
1,8,1,35,2,176.65,168.82999999999998
1,8,1,35,3,0.0,0.0
1,8,4,1,2,0.0,0.0
1,8,4,2,2,0.0,0.0
1,8,4,3,2,0.0,0.0
1,8,4,4,2,0.0,0.0
1,8,4,6,2,0.0,0.0
1,8,4,7,2,0.0,0.0
1,8,4,8,2,0.0,0.0
1,8,4,9,2,3.41,0.0
1,8,4,10,2,0.43,0.8539999999999999
1,8,4,11,2,0.0,0.0
1,8,4,13,2,0.0,0.0
1,8,4,15,2,0.0,0.0
1,8,4,16,2,0.0,0.0
1,8,4,17,2,0.0,0.0
1,8,4,18,2,0.0,0.0
1,8,4,19,2,0.0,0.0
1,8,4,21,2,0.0,0.0
1,8,4,22,2,0.0,0.0
1,8,4,29,2,0.0,0.0
1,8,4,35,2,0.0,0.0
1,8,4,35,3,0.0,0.0
1,8,7,15,2,0.0,0.0
1,8,7,35,2,0.0,0.0
1,9,1,1,2,1.59,2.278
1,9,1,1,3,0.0,0.0
1,9,1,2,2,0.49,0.74
1,9,1,3,2,0.36,0.356
1,9,1,3,3,0.0,0.0
1,9,1,4,2,0.4,0.508
1,9,1,4,3,0.0,0.0
1,9,1,5,2,0.28,0.5519999999999999
1,9,1,5,3,0.0,0.0
1,9,1,6,2,1.0,0.0
1,9,1,6,3,0.0,0.0
1,9,1,7,2,0.55,1.098
1,9,1,8,2,0.53,0.8220000000000001
1,9,1,8,3,0.0,0.0
1,9,1,9,2,0.0,0.0
1,9,1,10,2,4.96,5.351999999999999
1,9,1,10,3,0.0,0.0
1,9,1,11,2,1.18,1.8380000000000003
1,9,1,11,3,0.0,0.0
1,9,1,12,2,0.0,0.0
1,9,1,12,3,0.0,0.0
1,9,1,13,2,0.94,1.21
1,9,1,13,3,0.0,0.0
1,9,1,14,2,0.65,0.8619999999999999
1,9,1,14,3,0.0,0.0
1,9,1,15,2,0.12,0.0
1,9,1,15,3,0.0,0.0
1,9,1,16,2,0.75,0.204
1,9,1,16,3,0.0,0.0
1,9,1,17,2,0.37,0.476
1,9,1,17,3,0.0,0.0
1,9,1,18,2,0.62,0.618
1,9,1,19,2,2.43,1.3059999999999998
1,9,1,19,3,0.0,0.0
1,9,1,20,2,0.51,0.0
1,9,1,20,3,0.0,0.0
1,9,1,21,2,0.95,0.48
1,9,1,21,3,0.0,0.0
1,9,1,22,2,0.48,0.746
1,9,1,22,3,0.0,0.0
1,9,1,23,2,0.0,0.0
1,9,1,23,3,0.0,0.0
1,9,1,24,2,0.91,1.364
1,9,1,25,2,0.0,0.0
1,9,1,25,3,0.0,0.0
1,9,1,26,2,0.0,0.0
1,9,1,28,2,0.0,0.0
1,9,1,29,2,0.15,0.0
1,9,1,29,3,0.0,0.0
1,9,1,30,2,0.0,0.0
1,9,1,31,2,0.0,0.0
1,9,1,31,3,0.0,0.0
1,9,1,32,2,0.49,0.0
1,9,1,32,3,0.0,0.0
1,9,1,33,2,0.0,0.0
1,9,1,34,2,0.0,0.0
1,9,1,35,2,19.82,23.45
1,9,1,35,3,0.0,0.0
1,9,4,1,2,0.0,0.0
1,9,4,4,2,0.0,0.0
1,9,4,9,2,0.0,0.0
1,9,4,10,2,0.0,0.0
1,9,4,11,2,0.0,0.0
1,9,4,13,2,0.0,0.0
1,9,4,19,2,0.0,0.0
1,9,4,21,2,0.0,0.0
1,9,4,32,2,0.0,0.0
1,9,4,35,2,0.0,0.0
1,9,7,35,2,0.0,0.0
1,10,1,1,3,24.58,26.236
1,10,1,1,4,0.45,0.408
1,10,1,2,3,10.55,11.138
1,10,1,2,4,0.34,0.42
1,10,1,3,3,25.55,27.428
1,10,1,3,4,1.17,1.296
1,10,1,4,3,16.98,18.286
1,10,1,4,4,0.88,1.416
1,10,1,5,3,16.36,17.776
1,10,1,5,4,0.0,0.0
1,10,1,6,3,10.37,8.278
1,10,1,6,4,1.89,1.352
1,10,1,7,3,19.33,19.494
1,10,1,7,4,0.0,0.0
1,10,1,8,3,4.65,5.076
1,10,1,8,4,0.15,0.296
1,10,1,9,3,6.71,1.002
1,10,1,9,4,0.16,0.0
1,10,1,10,2,0.0,0.0
1,10,1,10,3,203.25,217.928
1,10,1,10,4,5.61,5.470000000000001
1,10,1,11,3,22.95,22.682
1,10,1,11,4,0.83,0.842
1,10,1,12,3,29.09,37.094
1,10,1,12,4,0.69,0.508
1,10,1,13,3,17.45,19.341999999999995
1,10,1,13,4,0.38,0.546
1,10,1,14,3,8.18,7.843999999999999
1,10,1,14,4,0.72,1.44
1,10,1,15,3,24.93,20.276000000000003
1,10,1,15,4,0.84,0.548
1,10,1,16,3,12.88,14.89
1,10,1,16,4,0.99,1.392
1,10,1,17,3,20.71,24.862
1,10,1,17,4,0.18,0.0
1,10,1,18,3,15.97,9.468
1,10,1,18,4,0.11,0.0
1,10,1,19,2,0.0,0.0
1,10,1,19,3,61.41,65.72800000000001
1,10,1,19,4,0.52,0.32
1,10,1,20,3,3.61,1.198
1,10,1,20,4,0.28,0.5619999999999999
1,10,1,21,3,38.97,44.484
1,10,1,21,4,1.13,1.262
1,10,1,22,3,5.83,5.6240000000000006
1,10,1,22,4,0.13,0.0
1,10,1,23,3,7.25,10.414
1,10,1,23,4,0.14,0.0
1,10,1,24,3,11.32,6.992
1,10,1,24,4,0.23,0.458
1,10,1,25,3,3.48,2.338
1,10,1,25,4,0.28,0.3339999999999999
1,10,1,26,3,0.13,0.258
1,10,1,26,4,0.0,0.0
1,10,1,28,3,2.41,0.996
1,10,1,28,4,0.21,0.214
1,10,1,29,3,14.47,14.282
1,10,1,29,4,0.37,0.244
1,10,1,30,3,0.67,1.33
1,10,1,30,4,0.0,0.0
1,10,1,31,3,4.43,3.37
1,10,1,31,4,0.0,0.0
1,10,1,32,3,6.28,10.876
1,10,1,32,4,0.0,0.0
1,10,1,33,3,0.0,0.0
1,10,1,33,4,0.0,0.0
1,10,1,34,3,0.0,0.0
1,10,1,35,2,0.0,0.0
1,10,1,35,3,788.85,716.468
1,10,1,35,4,12.55,11.582
1,10,4,1,3,0.0,0.0
1,10,4,2,3,0.0,0.0
1,10,4,3,3,0.0,0.0
1,10,4,3,4,0.0,0.0
1,10,4,4,3,0.0,0.0
1,10,4,5,3,0.0,0.0
1,10,4,5,4,0.0,0.0
1,10,4,6,3,0.0,0.0
1,10,4,6,4,0.0,0.0
1,10,4,7,3,0.0,0.0
1,10,4,8,3,0.0,0.0
1,10,4,9,3,2.44,0.0
1,10,4,9,4,0.42,0.0
1,10,4,10,3,0.73,1.452
1,10,4,10,4,0.0,0.0
1,10,4,11,3,0.0,0.0
1,10,4,12,3,0.0,0.0
1,10,4,13,3,0.0,0.0
1,10,4,13,4,0.0,0.0
1,10,4,15,3,0.0,0.0
1,10,4,15,4,0.0,0.0
1,10,4,16,3,0.0,0.0
1,10,4,17,3,0.0,0.0
1,10,4,18,3,0.0,0.0
1,10,4,18,4,0.0,0.0
1,10,4,19,3,0.12,0.246
1,10,4,21,3,0.0,0.0
1,10,4,21,4,0.0,0.0
1,10,4,22,3,0.0,0.0
1,10,4,29,3,0.0,0.0
1,10,4,29,4,0.0,0.0
1,10,4,32,3,0.0,0.0
1,10,4,35,3,0.32,0.0
1,10,4,35,4,0.0,0.0
1,10,7,15,3,0.0,0.0
1,10,7,35,3,0.0,0.0
1,11,1,1,2,0.4,0.37
1,11,1,1,3,0.0,0.0
1,11,1,2,2,0.0,0.0
1,11,1,3,2,0.35,0.262
1,11,1,3,3,0.0,0.0
1,11,1,4,2,0.0,0.0
1,11,1,5,2,0.0,0.0
1,11,1,6,2,0.0,0.0
1,11,1,7,2,0.2,0.0
1,11,1,8,2,0.32,0.638
1,11,1,8,3,0.0,0.0
1,11,1,9,2,0.0,0.0
1,11,1,10,2,1.69,3.122
1,11,1,10,3,0.0,0.0
1,11,1,11,2,0.0,0.0
1,11,1,11,3,0.0,0.0
1,11,1,12,2,0.13,0.0
1,11,1,12,3,0.0,0.0
1,11,1,13,2,0.0,0.0
1,11,1,14,2,0.0,0.0
1,11,1,14,3,0.0,0.0
1,11,1,15,2,0.0,0.0
1,11,1,16,2,0.0,0.0
1,11,1,17,2,0.0,0.0
1,11,1,17,3,0.0,0.0
1,11,1,18,2,0.14,0.0
1,11,1,18,3,0.0,0.0
1,11,1,19,2,0.48,0.568
1,11,1,19,3,0.0,0.0
1,11,1,20,2,0.0,0.0
1,11,1,20,3,0.0,0.0
1,11,1,21,2,0.47,0.724
1,11,1,22,2,0.0,0.0
1,11,1,23,2,0.16,0.316
1,11,1,24,2,0.15,0.296
1,11,1,25,2,0.0,0.0
1,11,1,25,3,0.0,0.0
1,11,1,26,2,0.0,0.0
1,11,1,28,2,0.0,0.0
1,11,1,29,2,0.0,0.0
1,11,1,29,3,0.0,0.0
1,11,1,30,2,0.0,0.0
1,11,1,31,2,0.0,0.0
1,11,1,32,2,0.0,0.0
1,11,1,33,2,0.0,0.0
1,11,1,34,2,0.0,0.0
1,11,1,35,2,2.02,0.7540000000000001
1,11,1,35,3,0.0,0.0
1,11,4,1,2,0.0,0.0
1,11,4,10,2,0.0,0.0
1,11,4,11,2,0.0,0.0
1,11,4,35,2,0.0,0.0
1,12,1,1,3,12.52,12.768
1,12,1,2,3,5.2,5.634
1,12,1,3,3,12.17,11.166
1,12,1,4,3,18.85,14.256
1,12,1,5,3,4.98,7.808
1,12,1,6,3,4.46,3.88
1,12,1,7,3,5.12,5.872
1,12,1,8,3,4.75,6.412000000000001
1,12,1,9,3,2.87,0.638
1,12,1,10,3,94.85,107.198
1,12,1,11,3,18.73,27.014
1,12,1,12,3,24.07,28.57
1,12,1,13,3,9.35,9.919999999999998
1,12,1,14,3,14.49,13.564000000000002
1,12,1,15,3,13.09,13.435999999999998
1,12,1,16,3,23.1,25.66
1,12,1,17,3,24.73,17.178
1,12,1,18,3,7.27,8.546
1,12,1,19,3,29.48,33.59
1,12,1,20,3,0.17,0.0
1,12,1,21,3,12.64,16.754
1,12,1,22,3,1.03,0.966
1,12,1,23,3,2.15,1.298
1,12,1,24,3,10.9,16.412
1,12,1,25,3,2.23,1.488
1,12,1,26,3,0.47,0.932
1,12,1,28,3,2.03,2.89
1,12,1,29,3,3.92,5.3
1,12,1,30,3,0.57,0.662
1,12,1,31,3,0.46,0.642
1,12,1,32,3,1.04,0.412
1,12,1,33,3,0.0,0.0
1,12,1,34,3,0.0,0.0
1,12,1,35,3,206.73,196.774
1,12,4,1,3,0.0,0.0
1,12,4,4,3,0.0,0.0
1,12,4,5,3,0.0,0.0
1,12,4,7,3,0.0,0.0
1,12,4,8,3,0.0,0.0
1,12,4,10,3,0.23,0.4679999999999999
1,12,4,11,3,0.0,0.0
1,12,4,12,3,0.0,0.0
1,12,4,13,3,0.0,0.0
1,12,4,16,3,0.0,0.0
1,12,4,17,3,0.0,0.0
1,12,4,19,3,0.0,0.0
1,12,4,21,3,0.0,0.0
1,12,4,22,3,0.16,0.0
1,12,4,29,3,0.0,0.0
1,12,4,35,3,0.0,0.0
1,12,7,35,3,0.0,0.0
1,-1,1,1,3,0.0,0.0
1,-1,1,2,3,0.0,0.0
1,-1,1,3,3,0.0,0.0
1,-1,1,4,3,0.0,0.0
1,-1,1,5,3,0.0,0.0
1,-1,1,6,3,0.0,0.0
1,-1,1,7,3,0.0,0.0
1,-1,1,8,3,0.0,0.0
1,-1,1,9,3,0.0,0.0
1,-1,1,10,3,0.0,0.0
1,-1,1,11,3,0.0,0.0
1,-1,1,12,3,0.0,0.0
1,-1,1,13,3,0.0,0.0
1,-1,1,14,3,0.0,0.0
1,-1,1,15,3,0.0,0.0
1,-1,1,16,3,0.0,0.0
1,-1,1,17,3,0.0,0.0
1,-1,1,18,3,0.0,0.0
1,-1,1,19,3,0.0,0.0
1,-1,1,20,3,0.0,0.0
1,-1,1,21,3,0.0,0.0
1,-1,1,22,3,0.0,0.0
1,-1,1,23,3,0.0,0.0
1,-1,1,24,3,0.0,0.0
1,-1,1,25,3,0.0,0.0
1,-1,1,26,3,0.0,0.0
1,-1,1,28,3,0.0,0.0
1,-1,1,29,3,0.0,0.0
1,-1,1,30,3,0.0,0.0
1,-1,1,31,3,0.0,0.0
1,-1,1,32,3,0.0,0.0
1,-1,1,33,3,0.0,0.0
1,-1,1,35,3,0.0,0.0
1,-1,4,9,3,0.0,0.0
1,-1,4,10,3,0.0,0.0
1,-1,4,13,3,0.0,0.0
1,-1,4,21,3,0.0,0.0
1,-1,4,35,3,0.0,0.0
1,-1,7,35,3,0.0,0.0
2,1,1,1,3,96.76,111.17
2,1,1,2,3,26.93,32.694
2,1,1,3,3,137.6,160.08999999999995
2,1,1,4,3,35.81,23.632
2,1,1,5,3,55.06,56.354
2,1,1,6,3,26.99,25.43
2,1,1,7,3,75.24,77.57
2,1,1,8,3,15.38,10.35
2,1,1,9,3,27.54,23.622
2,1,1,10,3,243.26,238.096
2,1,1,11,3,169.9,165.078
2,1,1,12,3,101.61,100.77
2,1,1,13,3,110.43,109.236
2,1,1,14,3,45.59,44.626000000000005
2,1,1,15,3,129.97,154.31599999999997
2,1,1,16,3,62.63,53.226
2,1,1,17,3,93.63,74.75999999999999
2,1,1,18,3,52.86,55.734
2,1,1,19,3,603.16,580.656
2,1,1,20,3,15.93,12.68
2,1,1,21,3,116.58,128.164
2,1,1,22,3,30.74,23.844
2,1,1,23,3,27.86,20.604000000000003
2,1,1,24,3,37.84,39.404
2,1,1,25,3,16.28,14.645999999999995
2,1,1,26,3,0.58,0.754
2,1,1,28,3,28.96,23.994000000000003
2,1,1,29,3,86.57,82.07600000000001
2,1,1,30,3,0.0,0.0
2,1,1,31,3,0.74,0.6679999999999999
2,1,1,32,3,3.52,4.7
2,1,1,34,3,0.0,0.0
2,1,1,35,3,44.83,51.658
2,1,4,3,3,0.0,0.0
2,1,4,4,3,0.17,0.3359999999999999
2,1,4,5,3,0.0,0.0
2,1,4,7,3,0.55,0.3279999999999999
2,1,4,9,3,0.0,0.0
2,1,4,10,3,0.0,0.0
2,1,4,11,3,3.31,6.619999999999999
2,1,4,12,3,0.0,0.0
2,1,4,13,3,0.0,0.0
2,1,4,14,3,0.0,0.0
2,1,4,15,3,0.57,0.456
2,1,4,16,3,0.0,0.0
2,1,4,17,3,0.1,0.206
2,1,4,18,3,0.0,0.0
2,1,4,19,3,0.0,0.0
2,1,4,25,3,0.0,0.0
2,1,4,28,3,0.0,0.0
2,1,4,29,3,0.0,0.0
2,1,4,35,3,0.0,0.0
2,1,7,12,3,0.0,0.0
2,4,1,1,1,159.87,187.992
2,4,1,1,3,0.0,0.0
2,4,1,2,1,22.29,24.528
2,4,1,2,3,0.0,0.0
2,4,1,3,1,236.65,281.926
2,4,1,3,3,0.0,0.0
2,4,1,4,1,35.93,39.34
2,4,1,4,3,0.0,0.0
2,4,1,5,1,106.85,104.972
2,4,1,5,3,0.0,0.0
2,4,1,6,1,43.22,42.492
2,4,1,6,3,0.0,0.0
2,4,1,7,1,119.01,125.746
2,4,1,7,3,0.0,0.0
2,4,1,8,1,15.96,9.694
2,4,1,8,3,0.0,0.0
2,4,1,9,1,39.58,33.238
2,4,1,9,3,0.0,0.0
2,4,1,10,1,455.3,466.752
2,4,1,10,3,0.0,0.0
2,4,1,11,1,229.19,228.166
2,4,1,11,3,0.0,0.0
2,4,1,12,1,112.13,123.206
2,4,1,12,3,0.0,0.0
2,4,1,13,1,141.57,144.526
2,4,1,13,3,0.0,0.0
2,4,1,14,1,41.34,42.99
2,4,1,14,3,0.0,0.0
2,4,1,15,1,119.53,116.558
2,4,1,15,3,0.0,0.0
2,4,1,16,1,75.42,69.902
2,4,1,16,3,0.0,0.0
2,4,1,17,1,100.93,97.554
2,4,1,17,3,0.0,0.0
2,4,1,18,1,65.44,88.782
2,4,1,18,3,0.0,0.0
2,4,1,19,1,927.11,911.356
2,4,1,19,3,0.0,0.0
2,4,1,20,1,21.66,17.546
2,4,1,20,3,0.0,0.0
2,4,1,21,1,160.31,162.302
2,4,1,21,3,0.0,0.0
2,4,1,22,1,45.22,32.608
2,4,1,22,3,0.0,0.0
2,4,1,23,1,16.47,18.152
2,4,1,23,3,0.0,0.0
2,4,1,24,1,45.1,48.418
2,4,1,24,3,0.0,0.0
2,4,1,25,1,29.1,25.254
2,4,1,25,3,0.0,0.0
2,4,1,26,1,0.95,1.664
2,4,1,26,3,0.0,0.0
2,4,1,28,1,14.16,13.236
2,4,1,28,3,0.0,0.0
2,4,1,29,1,93.93,88.97999999999999
2,4,1,29,3,0.0,0.0
2,4,1,30,1,0.0,0.0
2,4,1,30,3,0.0,0.0
2,4,1,31,1,1.65,2.95
2,4,1,31,3,0.0,0.0
2,4,1,32,1,7.46,12.684
2,4,1,32,3,0.0,0.0
2,4,1,34,1,0.0,0.0
2,4,1,35,1,87.82,96.72
2,4,1,35,3,0.0,0.0
2,4,4,3,1,0.0,0.0
2,4,4,3,3,0.0,0.0
2,4,4,4,1,0.0,0.0
2,4,4,4,3,0.0,0.0
2,4,4,5,1,0.0,0.0
