i,e,c,p,l,real,predict
i01,e04,c1,p20,l3,0.0,0.0
i01,e04,c1,p21,l1,1.69,3.114
i01,e04,c1,p21,l3,0.0,0.0
i01,e04,c1,p22,l1,0.65,0.808
i01,e04,c1,p22,l3,0.0,0.0
i01,e04,c1,p23,l1,0.0,0.0
i01,e04,c1,p24,l1,0.32,0.33999999999999997
i01,e04,c1,p24,l3,0.0,0.0
i01,e04,c1,p25,l1,0.0,0.0
i01,e04,c1,p25,l3,0.0,0.0
i01,e04,c1,p26,l1,0.0,0.0
i01,e04,c1,p28,l1,0.0,0.0
i01,e04,c1,p29,l1,1.23,0.648
i01,e04,c1,p29,l3,0.0,0.0
i01,e04,c1,p30,l1,0.0,0.0
i01,e04,c1,p31,l1,0.22,0.0
i01,e04,c1,p32,l1,0.0,0.0
i01,e04,c1,p32,l3,0.0,0.0
i01,e04,c1,p33,l1,0.0,0.0
i01,e04,c1,p34,l1,0.0,0.0
i01,e04,c1,p35,l1,32.94,37.928000000000004
i01,e04,c1,p35,l3,0.0,0.0
i01,e04,c4,p01,l1,0.0,0.0
i01,e04,c4,p02,l1,0.0,0.0
i01,e04,c4,p03,l1,0.0,0.0
i01,e04,c4,p04,l1,0.0,0.0
i01,e04,c4,p09,l1,0.0,0.0
i01,e04,c4,p10,l1,0.0,0.0
i01,e04,c4,p11,l1,0.0,0.0
i01,e04,c4,p13,l1,0.0,0.0
i01,e04,c4,p15,l1,0.0,0.0
i01,e04,c4,p19,l1,0.2,0.41
i01,e04,c4,p21,l1,0.0,0.0
i01,e04,c4,p22,l1,0.0,0.0
i01,e04,c4,p35,l1,0.0,0.0
i01,e05,c1,p01,l1,0.0,0.0
i01,e05,c1,p02,l1,0.0,0.0
i01,e05,c1,p02,l3,0.0,0.0
i01,e05,c1,p03,l1,0.0,0.0
i01,e05,c1,p04,l1,0.0,0.0
i01,e05,c1,p05,l1,0.0,0.0
i01,e05,c1,p06,l1,0.0,0.0
i01,e05,c1,p07,l1,0.0,0.0
i01,e05,c1,p08,l1,0.0,0.0
i01,e05,c1,p09,l1,0.0,0.0
i01,e05,c1,p10,l1,0.15,0.0
i01,e05,c1,p10,l3,0.0,0.0
i01,e05,c1,p11,l1,0.0,0.0
i01,e05,c1,p12,l1,0.0,0.0
i01,e05,c1,p13,l1,0.0,0.0
i01,e05,c1,p14,l1,0.0,0.0
i01,e05,c1,p15,l1,0.0,0.0
i01,e05,c1,p16,l1,0.0,0.0
i01,e05,c1,p17,l1,0.0,0.0
i01,e05,c1,p18,l1,0.0,0.0
i01,e05,c1,p19,l1,0.0,0.0
i01,e05,c1,p19,l3,0.0,0.0
i01,e05,c1,p21,l1,0.0,0.0
i01,e05,c1,p22,l1,0.0,0.0
i01,e05,c1,p24,l1,0.0,0.0
i01,e05,c1,p25,l1,0.0,0.0
i01,e05,c1,p26,l1,0.0,0.0
i01,e05,c1,p28,l1,0.0,0.0
i01,e05,c1,p29,l1,0.0,0.0
i01,e05,c1,p31,l1,0.0,0.0
i01,e05,c1,p32,l1,0.0,0.0
i01,e05,c1,p35,l1,0.0,0.0
i01,e05,c1,p35,l3,0.0,0.0
i01,e05,c4,p02,l1,0.0,0.0
i01,e05,c4,p04,l1,0.0,0.0
i01,e05,c4,p13,l1,0.0,0.0
i01,e05,c4,p35,l1,0.0,0.0
i01,e06,c1,p01,l3,0.0,0.0
i01,e06,c1,p02,l3,0.0,0.0
i01,e06,c1,p03,l3,0.0,0.0
i01,e06,c1,p04,l3,0.0,0.0
i01,e06,c1,p05,l3,0.0,0.0
i01,e06,c1,p06,l3,0.0,0.0
i01,e06,c1,p07,l3,0.0,0.0
i01,e06,c1,p08,l3,0.0,0.0
i01,e06,c1,p09,l3,0.0,0.0
i01,e06,c1,p10,l3,0.25,0.5
i01,e06,c1,p11,l3,0.0,0.0
i01,e06,c1,p12,l3,0.0,0.0
i01,e06,c1,p13,l3,0.0,0.0
i01,e06,c1,p14,l3,0.0,0.0
i01,e06,c1,p15,l3,0.0,0.0
i01,e06,c1,p16,l3,0.0,0.0
i01,e06,c1,p17,l3,0.0,0.0
i01,e06,c1,p18,l3,0.0,0.0
i01,e06,c1,p19,l3,0.0,0.0
i01,e06,c1,p20,l3,0.0,0.0
i01,e06,c1,p21,l3,0.0,0.0
i01,e06,c1,p22,l3,0.0,0.0
i01,e06,c1,p23,l3,0.0,0.0
i01,e06,c1,p24,l3,0.0,0.0
i01,e06,c1,p26,l3,0.0,0.0
i01,e06,c1,p28,l3,0.0,0.0
i01,e06,c1,p29,l3,0.0,0.0
i01,e06,c1,p35,l3,0.3,0.0
i01,e06,c4,p35,l3,0.0,0.0
i01,e07,c1,p01,l2,0.0,0.0
i01,e07,c1,p01,l3,0.0,0.0
i01,e07,c1,p02,l2,0.0,0.0
i01,e07,c1,p03,l2,0.0,0.0
i01,e07,c1,p04,l2,0.0,0.0
i01,e07,c1,p05,l2,0.0,0.0
i01,e07,c1,p06,l2,0.0,0.0
i01,e07,c1,p07,l2,0.0,0.0
i01,e07,c1,p08,l2,0.0,0.0
i01,e07,c1,p09,l2,0.0,0.0
i01,e07,c1,p10,l2,0.26,0.516
i01,e07,c1,p10,l3,0.0,0.0
i01,e07,c1,p10,l4,0.0,0.0
i01,e07,c1,p11,l2,0.0,0.0
i01,e07,c1,p12,l2,0.0,0.0
i01,e07,c1,p12,l3,0.0,0.0
i01,e07,c1,p13,l2,0.12,0.236
i01,e07,c1,p14,l2,0.0,0.0
i01,e07,c1,p14,l3,0.0,0.0
i01,e07,c1,p15,l2,0.27,0.532
i01,e07,c1,p16,l2,0.0,0.0
i01,e07,c1,p17,l2,0.0,0.0
i01,e07,c1,p17,l3,0.0,0.0
i01,e07,c1,p18,l2,1.21,2.428
i01,e07,c1,p19,l2,0.0,0.0
i01,e07,c1,p19,l3,0.0,0.0
i01,e07,c1,p20,l2,0.0,0.0
i01,e07,c1,p21,l2,0.0,0.0
i01,e07,c1,p21,l3,0.0,0.0
i01,e07,c1,p22,l2,0.0,0.0
i01,e07,c1,p23,l2,0.0,0.0
i01,e07,c1,p24,l2,0.0,0.0
i01,e07,c1,p25,l2,0.0,0.0
i01,e07,c1,p26,l2,0.0,0.0
i01,e07,c1,p28,l2,0.0,0.0
i01,e07,c1,p29,l2,0.0,0.0
i01,e07,c1,p29,l3,0.0,0.0
i01,e07,c1,p30,l2,0.11,0.22000000000000003
i01,e07,c1,p31,l2,0.0,0.0
i01,e07,c1,p32,l2,0.0,0.0
i01,e07,c1,p33,l2,0.0,0.0
i01,e07,c1,p35,l2,2.51,3.002
i01,e07,c1,p35,l3,0.0,0.0
i01,e07,c1,p35,l4,0.0,0.0
i01,e07,c4,p11,l2,0.0,0.0
i01,e07,c4,p19,l2,0.0,0.0
i01,e07,c4,p21,l2,0.0,0.0
i01,e07,c4,p22,l2,0.0,0.0
i01,e07,c4,p35,l2,0.0,0.0
i01,e08,c1,p01,l2,3.16,4.508
i01,e08,c1,p01,l3,0.0,0.0
i01,e08,c1,p02,l2,2.91,3.4939999999999998
i01,e08,c1,p02,l3,0.0,0.0
i01,e08,c1,p03,l2,7.76,8.429999999999998
i01,e08,c1,p03,l3,0.0,0.0
i01,e08,c1,p04,l2,3.37,5.0
i01,e08,c1,p04,l3,0.0,0.0
i01,e08,c1,p05,l2,4.03,3.654
i01,e08,c1,p05,l3,0.0,0.0
i01,e08,c1,p06,l2,2.81,2.646
i01,e08,c1,p06,l3,0.0,0.0
i01,e08,c1,p07,l2,0.59,0.314
i01,e08,c1,p07,l3,0.0,0.0
i01,e08,c1,p08,l2,1.27,2.536
i01,e08,c1,p08,l3,0.0,0.0
i01,e08,c1,p09,l2,2.47,0.22200000000000003
i01,e08,c1,p09,l3,0.0,0.0
i01,e08,c1,p10,l2,48.88,47.504
i01,e08,c1,p10,l3,0.0,0.0
i01,e08,c1,p11,l2,6.72,6.204000000000001
i01,e08,c1,p11,l3,0.0,0.0
i01,e08,c1,p12,l2,2.37,3.12
i01,e08,c1,p12,l3,0.0,0.0
i01,e08,c1,p13,l2,2.13,0.8220000000000001
i01,e08,c1,p13,l3,0.0,0.0
i01,e08,c1,p14,l2,0.93,1.004
i01,e08,c1,p14,l3,0.0,0.0
i01,e08,c1,p15,l2,5.5,6.7700000000000005
i01,e08,c1,p15,l3,0.0,0.0
i01,e08,c1,p16,l2,4.82,3.094
i01,e08,c1,p16,l3,0.0,0.0
i01,e08,c1,p17,l2,3.28,4.209999999999999
i01,e08,c1,p17,l3,0.0,0.0
i01,e08,c1,p18,l2,1.38,0.364
i01,e08,c1,p18,l3,0.0,0.0
i01,e08,c1,p19,l2,12.41,11.457999999999998
i01,e08,c1,p19,l3,0.0,0.0
i01,e08,c1,p20,l2,1.53,0.614
i01,e08,c1,p20,l3,0.0,0.0
i01,e08,c1,p21,l2,7.8,8.912
i01,e08,c1,p21,l3,0.0,0.0
i01,e08,c1,p22,l2,2.07,1.782
i01,e08,c1,p22,l3,0.0,0.0
i01,e08,c1,p23,l2,0.0,0.0
i01,e08,c1,p23,l3,0.0,0.0
i01,e08,c1,p24,l2,2.75,3.4859999999999998
i01,e08,c1,p24,l3,0.0,0.0
i01,e08,c1,p25,l2,0.33,0.0
i01,e08,c1,p25,l3,0.0,0.0
i01,e08,c1,p26,l2,0.92,0.0
i01,e08,c1,p28,l2,0.14,0.288
i01,e08,c1,p28,l3,0.0,0.0
i01,e08,c1,p29,l2,3.19,2.286
i01,e08,c1,p29,l3,0.0,0.0
i01,e08,c1,p30,l2,0.0,0.0
i01,e08,c1,p31,l2,1.72,1.8
i01,e08,c1,p31,l3,0.0,0.0
i01,e08,c1,p32,l2,0.43,0.0
i01,e08,c1,p32,l3,0.0,0.0
i01,e08,c1,p33,l2,0.0,0.0
i01,e08,c1,p34,l2,0.0,0.0
i01,e08,c1,p35,l2,176.65,168.82999999999998
i01,e08,c1,p35,l3,0.0,0.0
i01,e08,c4,p01,l2,0.0,0.0
i01,e08,c4,p02,l2,0.0,0.0
i01,e08,c4,p03,l2,0.0,0.0
i01,e08,c4,p04,l2,0.0,0.0
i01,e08,c4,p06,l2,0.0,0.0
i01,e08,c4,p07,l2,0.0,0.0
i01,e08,c4,p08,l2,0.0,0.0
i01,e08,c4,p09,l2,3.41,0.0
i01,e08,c4,p10,l2,0.43,0.8539999999999999
i01,e08,c4,p11,l2,0.0,0.0
i01,e08,c4,p13,l2,0.0,0.0
i01,e08,c4,p15,l2,0.0,0.0
i01,e08,c4,p16,l2,0.0,0.0
i01,e08,c4,p17,l2,0.0,0.0
i01,e08,c4,p18,l2,0.0,0.0
i01,e08,c4,p19,l2,0.0,0.0
i01,e08,c4,p21,l2,0.0,0.0
i01,e08,c4,p22,l2,0.0,0.0
i01,e08,c4,p29,l2,0.0,0.0
i01,e08,c4,p35,l2,0.0,0.0
i01,e08,c4,p35,l3,0.0,0.0
i01,e08,c7,p15,l2,0.0,0.0
i01,e08,c7,p35,l2,0.0,0.0
i01,e09,c1,p01,l2,1.59,2.278
i01,e09,c1,p01,l3,0.0,0.0
i01,e09,c1,p02,l2,0.49,0.74
i01,e09,c1,p03,l2,0.36,0.356
i01,e09,c1,p03,l3,0.0,0.0
i01,e09,c1,p04,l2,0.4,0.508
i01,e09,c1,p04,l3,0.0,0.0
i01,e09,c1,p05,l2,0.28,0.5519999999999999
i01,e09,c1,p05,l3,0.0,0.0
i01,e09,c1,p06,l2,1.0,0.0
i01,e09,c1,p06,l3,0.0,0.0
i01,e09,c1,p07,l2,0.55,1.098
i01,e09,c1,p08,l2,0.53,0.8220000000000001
i01,e09,c1,p08,l3,0.0,0.0
i01,e09,c1,p09,l2,0.0,0.0
i01,e09,c1,p10,l2,4.96,5.351999999999999
i01,e09,c1,p10,l3,0.0,0.0
i01,e09,c1,p11,l2,1.18,1.8380000000000003
i01,e09,c1,p11,l3,0.0,0.0
i01,e09,c1,p12,l2,0.0,0.0
i01,e09,c1,p12,l3,0.0,0.0
i01,e09,c1,p13,l2,0.94,1.21
i01,e09,c1,p13,l3,0.0,0.0
i01,e09,c1,p14,l2,0.65,0.8619999999999999
i01,e09,c1,p14,l3,0.0,0.0
i01,e09,c1,p15,l2,0.12,0.0
i01,e09,c1,p15,l3,0.0,0.0
i01,e09,c1,p16,l2,0.75,0.20400000000000001
i01,e09,c1,p16,l3,0.0,0.0
i01,e09,c1,p17,l2,0.37,0.476
i01,e09,c1,p17,l3,0.0,0.0
i01,e09,c1,p18,l2,0.62,0.618
i01,e09,c1,p19,l2,2.43,1.3059999999999998
i01,e09,c1,p19,l3,0.0,0.0
i01,e09,c1,p20,l2,0.51,0.0
i01,e09,c1,p20,l3,0.0,0.0
i01,e09,c1,p21,l2,0.95,0.48
i01,e09,c1,p21,l3,0.0,0.0
i01,e09,c1,p22,l2,0.48,0.746
i01,e09,c1,p22,l3,0.0,0.0
i01,e09,c1,p23,l2,0.0,0.0
i01,e09,c1,p23,l3,0.0,0.0
i01,e09,c1,p24,l2,0.91,1.3639999999999999
i01,e09,c1,p25,l2,0.0,0.0
i01,e09,c1,p25,l3,0.0,0.0
i01,e09,c1,p26,l2,0.0,0.0
i01,e09,c1,p28,l2,0.0,0.0
i01,e09,c1,p29,l2,0.15,0.0
i01,e09,c1,p29,l3,0.0,0.0
i01,e09,c1,p30,l2,0.0,0.0
i01,e09,c1,p31,l2,0.0,0.0
i01,e09,c1,p31,l3,0.0,0.0
i01,e09,c1,p32,l2,0.49,0.0
i01,e09,c1,p32,l3,0.0,0.0
i01,e09,c1,p33,l2,0.0,0.0
i01,e09,c1,p34,l2,0.0,0.0
i01,e09,c1,p35,l2,19.82,23.45
i01,e09,c1,p35,l3,0.0,0.0
i01,e09,c4,p01,l2,0.0,0.0
i01,e09,c4,p04,l2,0.0,0.0
i01,e09,c4,p09,l2,0.0,0.0
i01,e09,c4,p10,l2,0.0,0.0
i01,e09,c4,p11,l2,0.0,0.0
i01,e09,c4,p13,l2,0.0,0.0
i01,e09,c4,p19,l2,0.0,0.0
i01,e09,c4,p21,l2,0.0,0.0
i01,e09,c4,p32,l2,0.0,0.0
i01,e09,c4,p35,l2,0.0,0.0
i01,e09,c7,p35,l2,0.0,0.0
i01,e10,c1,p01,l3,24.58,26.236
i01,e10,c1,p01,l4,0.45,0.40800000000000003
i01,e10,c1,p02,l3,10.55,11.138
i01,e10,c1,p02,l4,0.34,0.42000000000000004
i01,e10,c1,p03,l3,25.55,27.427999999999997
i01,e10,c1,p03,l4,1.17,1.296
i01,e10,c1,p04,l3,16.98,18.286
i01,e10,c1,p04,l4,0.88,1.416
i01,e10,c1,p05,l3,16.36,17.776
i01,e10,c1,p05,l4,0.0,0.0
i01,e10,c1,p06,l3,10.37,8.278
i01,e10,c1,p06,l4,1.89,1.3519999999999999
i01,e10,c1,p07,l3,19.33,19.494
i01,e10,c1,p07,l4,0.0,0.0
i01,e10,c1,p08,l3,4.65,5.076
i01,e10,c1,p08,l4,0.15,0.296
i01,e10,c1,p09,l3,6.71,1.002
i01,e10,c1,p09,l4,0.16,0.0
i01,e10,c1,p10,l2,0.0,0.0
i01,e10,c1,p10,l3,203.25,217.92799999999997
i01,e10,c1,p10,l4,5.61,5.470000000000001
i01,e10,c1,p11,l3,22.95,22.682
i01,e10,c1,p11,l4,0.83,0.842
i01,e10,c1,p12,l3,29.09,37.094
i01,e10,c1,p12,l4,0.69,0.508
i01,e10,c1,p13,l3,17.45,19.341999999999995
i01,e10,c1,p13,l4,0.38,0.546
i01,e10,c1,p14,l3,8.18,7.843999999999999
i01,e10,c1,p14,l4,0.72,1.44
i01,e10,c1,p15,l3,24.93,20.276000000000003
i01,e10,c1,p15,l4,0.84,0.548
i01,e10,c1,p16,l3,12.88,14.89
i01,e10,c1,p16,l4,0.99,1.392
i01,e10,c1,p17,l3,20.71,24.862000000000002
i01,e10,c1,p17,l4,0.18,0.0
i01,e10,c1,p18,l3,15.97,9.468
i01,e10,c1,p18,l4,0.11,0.0
i01,e10,c1,p19,l2,0.0,0.0
i01,e10,c1,p19,l3,61.41,65.72800000000001
i01,e10,c1,p19,l4,0.52,0.32
i01,e10,c1,p20,l3,3.61,1.198
i01,e10,c1,p20,l4,0.28,0.5619999999999999
i01,e10,c1,p21,l3,38.97,44.483999999999995
i01,e10,c1,p21,l4,1.13,1.262
i01,e10,c1,p22,l3,5.83,5.6240000000000006
i01,e10,c1,p22,l4,0.13,0.0
i01,e10,c1,p23,l3,7.25,10.414
i01,e10,c1,p23,l4,0.14,0.0
i01,e10,c1,p24,l3,11.32,6.992
i01,e10,c1,p24,l4,0.23,0.458
i01,e10,c1,p25,l3,3.48,2.338
i01,e10,c1,p25,l4,0.28,0.33399999999999996
i01,e10,c1,p26,l3,0.13,0.258
i01,e10,c1,p26,l4,0.0,0.0
i01,e10,c1,p28,l3,2.41,0.9959999999999999
i01,e10,c1,p28,l4,0.21,0.21400000000000002
i01,e10,c1,p29,l3,14.47,14.282
i01,e10,c1,p29,l4,0.37,0.244
i01,e10,c1,p30,l3,0.67,1.33
i01,e10,c1,p30,l4,0.0,0.0
i01,e10,c1,p31,l3,4.43,3.37
i01,e10,c1,p31,l4,0.0,0.0
i01,e10,c1,p32,l3,6.28,10.876000000000001
i01,e10,c1,p32,l4,0.0,0.0
i01,e10,c1,p33,l3,0.0,0.0
i01,e10,c1,p33,l4,0.0,0.0
i01,e10,c1,p34,l3,0.0,0.0
i01,e10,c1,p35,l2,0.0,0.0
i01,e10,c1,p35,l3,788.85,716.468
i01,e10,c1,p35,l4,12.55,11.582
i01,e10,c4,p01,l3,0.0,0.0
i01,e10,c4,p02,l3,0.0,0.0
i01,e10,c4,p03,l3,0.0,0.0
i01,e10,c4,p03,l4,0.0,0.0
i01,e10,c4,p04,l3,0.0,0.0
i01,e10,c4,p05,l3,0.0,0.0
i01,e10,c4,p05,l4,0.0,0.0
i01,e10,c4,p06,l3,0.0,0.0
i01,e10,c4,p06,l4,0.0,0.0
i01,e10,c4,p07,l3,0.0,0.0
i01,e10,c4,p08,l3,0.0,0.0
i01,e10,c4,p09,l3,2.44,0.0
i01,e10,c4,p09,l4,0.42,0.0
i01,e10,c4,p10,l3,0.73,1.452
i01,e10,c4,p10,l4,0.0,0.0
i01,e10,c4,p11,l3,0.0,0.0
i01,e10,c4,p12,l3,0.0,0.0
i01,e10,c4,p13,l3,0.0,0.0
i01,e10,c4,p13,l4,0.0,0.0
i01,e10,c4,p15,l3,0.0,0.0
i01,e10,c4,p15,l4,0.0,0.0
i01,e10,c4,p16,l3,0.0,0.0
i01,e10,c4,p17,l3,0.0,0.0
i01,e10,c4,p18,l3,0.0,0.0
i01,e10,c4,p18,l4,0.0,0.0
i01,e10,c4,p19,l3,0.12,0.246
i01,e10,c4,p21,l3,0.0,0.0
i01,e10,c4,p21,l4,0.0,0.0
i01,e10,c4,p22,l3,0.0,0.0
i01,e10,c4,p29,l3,0.0,0.0
i01,e10,c4,p29,l4,0.0,0.0
i01,e10,c4,p32,l3,0.0,0.0
i01,e10,c4,p35,l3,0.32,0.0
i01,e10,c4,p35,l4,0.0,0.0
i01,e10,c7,p15,l3,0.0,0.0
i01,e10,c7,p35,l3,0.0,0.0
i01,e11,c1,p01,l2,0.4,0.37
i01,e11,c1,p01,l3,0.0,0.0
i01,e11,c1,p02,l2,0.0,0.0
i01,e11,c1,p03,l2,0.35,0.262
i01,e11,c1,p03,l3,0.0,0.0
i01,e11,c1,p04,l2,0.0,0.0
i01,e11,c1,p05,l2,0.0,0.0
i01,e11,c1,p06,l2,0.0,0.0
i01,e11,c1,p07,l2,0.2,0.0
i01,e11,c1,p08,l2,0.32,0.638
i01,e11,c1,p08,l3,0.0,0.0
i01,e11,c1,p09,l2,0.0,0.0
i01,e11,c1,p10,l2,1.69,3.122
i01,e11,c1,p10,l3,0.0,0.0
i01,e11,c1,p11,l2,0.0,0.0
i01,e11,c1,p11,l3,0.0,0.0
i01,e11,c1,p12,l2,0.13,0.0
i01,e11,c1,p12,l3,0.0,0.0
i01,e11,c1,p13,l2,0.0,0.0
i01,e11,c1,p14,l2,0.0,0.0
i01,e11,c1,p14,l3,0.0,0.0
i01,e11,c1,p15,l2,0.0,0.0
i01,e11,c1,p16,l2,0.0,0.0
i01,e11,c1,p17,l2,0.0,0.0
i01,e11,c1,p17,l3,0.0,0.0
i01,e11,c1,p18,l2,0.14,0.0
i01,e11,c1,p18,l3,0.0,0.0
i01,e11,c1,p19,l2,0.48,0.568
i01,e11,c1,p19,l3,0.0,0.0
i01,e11,c1,p20,l2,0.0,0.0
i01,e11,c1,p20,l3,0.0,0.0
i01,e11,c1,p21,l2,0.47,0.724
i01,e11,c1,p22,l2,0.0,0.0
i01,e11,c1,p23,l2,0.16,0.316
i01,e11,c1,p24,l2,0.15,0.296
i01,e11,c1,p25,l2,0.0,0.0
i01,e11,c1,p25,l3,0.0,0.0
i01,e11,c1,p26,l2,0.0,0.0
i01,e11,c1,p28,l2,0.0,0.0
i01,e11,c1,p29,l2,0.0,0.0
i01,e11,c1,p29,l3,0.0,0.0
i01,e11,c1,p30,l2,0.0,0.0
i01,e11,c1,p31,l2,0.0,0.0
i01,e11,c1,p32,l2,0.0,0.0
i01,e11,c1,p33,l2,0.0,0.0
i01,e11,c1,p34,l2,0.0,0.0
i01,e11,c1,p35,l2,2.02,0.7540000000000001
i01,e11,c1,p35,l3,0.0,0.0
i01,e11,c4,p01,l2,0.0,0.0
i01,e11,c4,p10,l2,0.0,0.0
i01,e11,c4,p11,l2,0.0,0.0
i01,e11,c4,p35,l2,0.0,0.0
i01,e12,c1,p01,l3,12.52,12.768
i01,e12,c1,p02,l3,5.2,5.634
i01,e12,c1,p03,l3,12.17,11.166
i01,e12,c1,p04,l3,18.85,14.256
i01,e12,c1,p05,l3,4.98,7.808
i01,e12,c1,p06,l3,4.46,3.88
i01,e12,c1,p07,l3,5.12,5.872
i01,e12,c1,p08,l3,4.75,6.412000000000001
i01,e12,c1,p09,l3,2.87,0.638
i01,e12,c1,p10,l3,94.85,107.19800000000001
i01,e12,c1,p11,l3,18.73,27.014
i01,e12,c1,p12,l3,24.07,28.57
i01,e12,c1,p13,l3,9.35,9.919999999999998
i01,e12,c1,p14,l3,14.49,13.564000000000002
i01,e12,c1,p15,l3,13.09,13.435999999999998
i01,e12,c1,p16,l3,23.1,25.659999999999997
i01,e12,c1,p17,l3,24.73,17.178
i01,e12,c1,p18,l3,7.27,8.546
i01,e12,c1,p19,l3,29.48,33.589999999999996
i01,e12,c1,p20,l3,0.17,0.0
i01,e12,c1,p21,l3,12.64,16.754
i01,e12,c1,p22,l3,1.03,0.966
i01,e12,c1,p23,l3,2.15,1.298
i01,e12,c1,p24,l3,10.9,16.412
i01,e12,c1,p25,l3,2.23,1.488
i01,e12,c1,p26,l3,0.47,0.932
i01,e12,c1,p28,l3,2.03,2.89
i01,e12,c1,p29,l3,3.92,5.3
i01,e12,c1,p30,l3,0.57,0.662
i01,e12,c1,p31,l3,0.46,0.642
i01,e12,c1,p32,l3,1.04,0.41200000000000003
i01,e12,c1,p33,l3,0.0,0.0
i01,e12,c1,p34,l3,0.0,0.0
i01,e12,c1,p35,l3,206.73,196.77399999999997
i01,e12,c4,p01,l3,0.0,0.0
i01,e12,c4,p04,l3,0.0,0.0
i01,e12,c4,p05,l3,0.0,0.0
i01,e12,c4,p07,l3,0.0,0.0
i01,e12,c4,p08,l3,0.0,0.0
i01,e12,c4,p10,l3,0.23,0.46799999999999997
i01,e12,c4,p11,l3,0.0,0.0
i01,e12,c4,p12,l3,0.0,0.0
i01,e12,c4,p13,l3,0.0,0.0
i01,e12,c4,p16,l3,0.0,0.0
i01,e12,c4,p17,l3,0.0,0.0
i01,e12,c4,p19,l3,0.0,0.0
